Health Policy,3
Journal of Accounting and Economics,3
Procedia Manufacturing,3
Computers & Graphics,3
Transportation Research Part E: Logistics and Transportation Review,3
Sustainable Energy Technologies and Assessments,3
Ecological Indicators,3
In Intelligent Data-Centric Systems,3
Journal of Monetary Economics,3
Land Use Policy,3
"Discourse, Context & Media",3
Ad Hoc Networks,3
Transportmetrica A Transport Science,3
Landscape and Urban Planning,3
Informatics in Medicine Unlocked,3
International Journal of Cognitive Computing in Engineering,3
Current Opinion in Systems Biology,3
Computer Law & Security Review,3
Omega,3
Ultrasound in Medicine & Biology,3
International Journal of Accounting Information Systems,3
Journal of the American Academy of Dermatology,3
Advances in Computers,3
Vaccine,3
Economics Letters,3
Information Processing Letters,3
Energy Strategy Reviews,3
Process Safety and Environmental Protection,3
Energy Reports,3
Group and Crowd Behavior for Computer Vision,3
World Development,3
Business Horizons,3
Building and Environment,3
Journal of Rural Studies,3
Computational Statistics & Data Analysis,3
Journal of Thoracic Oncology,3
Cognitive Approach to Natural Language Processing,3
Source Separation and Machine Learning,3
Transportation Letters,3
Design Studies,3
Intelligence-Based Medicine,2
International Journal of Project Management,2
Children and Youth Services Review,2
SoftwareX,2
International Journal of Electrical Power & Energy Systems,2
International Review of Law and Economics,2
International Journal of Intercultural Relations,2
Sleep Medicine Reviews,2
Sleep Medicine,2
Simulation Modelling Practice and Theory,2
Social Science Research,2
Journal of Financial Stability,2
Journal of Business Venturing Insights,2
Journal of Systems Architecture,2
Journal of Urban Management,2
Physics Reports,2
Physica D: Nonlinear Phenomena,2
Asian Journal of Psychiatry,2
Journal of the American College of Surgeons,2
Personality and Individual Differences,2
Journal of the Franklin Institute,2
Library & Information Science Research,2
Long Range Planning,2
Biosystems,2
Marine Policy,2
Mechanical Systems and Signal Processing,2
Methods,2
Biological Conservation,2
Biological Psychiatry,2
"Multi-Chaos, Fractal and Multi-Fractional Artificial Intelligence of Different Complex Systems",2
Natural Product Reports,2
Preventive Medicine,2
Journal of Rail Transport Planning & Management,2
Chest,2
Psychiatry Research,2
SSM - Population Health,2
Applied Geography,2
Robotics and Computer-Integrated Manufacturing,2
Robotics and Autonomous Systems,2
Journal of Critical Care,2
Journal of Econometrics,2
Journal of Economics and Business,2
Central Bank Review,2
Reproductive BioMedicine Online,2
Information and Organization,2
Renewable Energy,2
Cell Systems,2
Cell Reports,2
Journal of International Money and Finance,2
Journal of Loss Prevention in the Process Industries,2
Journal of Manufacturing Systems,2
Journal of Multivariate Analysis,2
Comprehensive Geographic Information Systems,2
Nano Energy,2
Current Opinion in Structural Biology,2
Economic Analysis and Policy,2
IATSS Research,2
Ain Shams Engineering Journal,2
The American Journal of Emergency Medicine,2
Computers & Chemical Engineering,2
European Management Journal,2
Healthcare Analytics,2
Health Policy and Technology,2
The American Journal of Human Genetics,2
European Research on Management and Business Economics,2
Transport Reviews,2
Global Food Security,2
Evolution and Human Behavior,2
Computers & Operations Research,2
Electronic Notes in Theoretical Computer Science,2
Ecological Modelling,2
Drug Discovery Today,2
The Lancet Digital Health,2
Addictive Behaviors,2
General Hospital Psychiatry,2
The Internet and Higher Education,2
The Journal of China Universities of Posts and Telecommunications,2
Computers and Composition,2
Fundamental Research,2
Ecological Economics,2
Fuel,2
Forensic Science International: Digital Investigation,2
The Quarterly Review of Economics and Finance,2
Epilepsy & Behavior,2
Urban Forestry & Urban Greening,2
Encyclopedia of Bioinformatics and Computational Biology,2
Acta Psychologica,2
Computational and Structural Biotechnology Journal,2
Data Science and Management,2
Data Science for COVID-19,2
Energy Procedia,2
In Translational Epigenetics,2
"Agriculture, Ecosystems & Environment",2
Energy,2
Desalination,2
In Cognitive Data Science in Sustainable Computing,2
Encyclopedia of Creativity (Third Edition),2
Current Opinion in Green and Sustainable Chemistry,2
Consciousness and Cognition,2
Environmental Science & Policy,2
In Advances in ubiquitous sensing applications for healthcare,2
ISA Transactions,2
Immunity,2
Pharmacological Research,1
Progress in Aerospace Sciences,1
Transfusion Medicine Reviews,1
Process Safety and Big Data,1
Procedia Structural Integrity,1
Pharmacology & Therapeutics,1
Artificial Intelligence in Bioinformatics,1
Phytochemistry,1
Photoacoustics,1
Transplantation Proceedings,1
Advances in Space Research,1
Artificial Intelligence in Precision Health,1
Advances in Applied Energy,1
Preventive Veterinary Medicine,1
Procedia Engineering,1
Advances in Food Security and Sustainability,1
Artificial Intelligence and Machine Learning for EDGE Computing,1
Translational Research,1
Speech Communication,1
Asian Transport Studies,1
Ocean & Coastal Management,1
Nurse Education Today,1
Novel AI and Data Science Advancements for Sustainability in the Era of COVID-19,1
New Ideas in Psychology,1
Urology,1
Big Data and Smart Service Systems,1
Actas Dermo-Sifiliográficas (English Edition),1
Neuropharmacology,1
Vehicular Communications,1
Acta Tropica,1
Neuron,1
Volume 60,1
Neuromodulation: Technology at the Neural Interface,1
Biocybernetics and Biomedical Engineering,1
Waste Management,1
Wearable Sensors (Second Edition),1
Nursing Outlook,1
Big Data Application in Power Systems,1
Advances in Animal Biosciences,1
Tribology International,1
Assessing Writing,1
Australasian Marketing Journal (AMJ),1
Progress in Molecular Biology and Translational Science,1
Basic Physics of Nanoscience,1
Patient Education and Counseling,1
Parallel Computing,1
Osteoarthritis and Cartilage,1
Travel Medicine and Infectious Disease,1
Organizational Behavior and Human Decision Processes,1
Optik,1
Trends in Biotechnology,1
Operations Research Perspectives,1
Big Data Analytics for Healthcare,1
Trends in Ecology & Evolution,1
Trends in Food Science & Technology,1
Progress in Energy and Combustion Science,1
Reference Module in Neuroscience and Biobehavioral Psychology,1
Progress in Nuclear Energy,1
Teaching and Learning in Nursing,1
Analyzing Social Media Networks with NodeXL (Second Edition),1
American Journal of Obstetrics and Gynecology,1
Sexual Medicine Reviews,1
Sex and Gender Bias in Technology and Artificial Intelligence,1
American Journal of Infection Control,1
Separation and Purification Technology,1
Alzheimer's & Dementia,1
Seminars in Arthritis and Rheumatism,1
"Science, Technology, Innovation, and Development in the Arab Countries",1
Applications of Big Data in Healthcare,1
Applied Biomedical Engineering Using Artificial Intelligence and Cognitive Models,1
Science Bulletin,1
The American Journal of Pathology,1
Schizophrenia Research,1
Scandinavian Journal of Management,1
Teaching and Teacher Education,1
Smart Cities: Issues and Challenges,1
Advances in Transport Policy and Planning,1
Animal,1
Strategic Leadership in Digital Evidence,1
