Publication Title,Publication Title
Educating for a New Future: Making Sense of Technology-Enhanced Learning Adoption,1
Electronic Governance and Open Society: Challenges in Eurasia,1
Enterprise Information Systems,1
Electronic Government and the Information Systems Perspective,1
Embeddings in Natural Language Processing,1
"Emerging Technology Trends in Electronics, Communication and Networking",1
Encyclopedia of GIS,1
Engineering Artificially Intelligent Systems,1
Engineering the Transformation of the Enterprise,1
Document Analysis and Recognition – ICDAR 2021 Workshops,1
Distributed and Parallel Databases,1
Disruptive Technologies and Digital Transformations for Society 5.0,1
Discover Internet of Things,1
Dimensionality Reduction in Data Science,1
Digital Libraries: Supporting Open Science,1
Digital Libraries at the Crossroads of Digital Information for the Future,1
Digital Libraries at Times of Massive Societal Transition,1
Digital Fluency,1
Digital Economy. Emerging Technologies and Business Innovation,1
Differential Privacy and Applications,1
Die blaue Stunde der Informatik,1
Diagrammatic Representation and Inference,1
Designing for Digital Transformation. Co-Creating Services with Citizens and Industry,1
"Design, Operation  and Evaluation of  Mobile Communications",1
Deep Learning for Natural Language Processing,1
Deep Learning and Practice with MindSpore,1
Enhanced Quality of Life and Smart Living,1
Euro-Par 2016: Parallel Processing Workshops,1
High-Performance Modelling and Simulation for Big Data Applications,1
"HCI in Business, Government, and Organizations",1
HCI International 2019 - Posters,1
HCI International 2020 – Late Breaking Posters,1
"HCI International 2021 - Late Breaking Papers: Cognition, Inclusion, Learning, and Culture",1
HCI International 2021 - Posters,1
"HCI International 2022 – Late Breaking Papers: HCI for Health, Well-being, Universal Access and Healthy Aging",1
"HCI Outdoors: Theory, Design, Methods and Applications",1
Handbook of Big Data Technologies,1
Euro-Par 2021: Parallel Processing Workshops,1
Handbook of Large-Scale Distributed Computing in Smart Healthcare,1
Hands-on AIOps,1
"Heterogeneous Data Management, Polystores, and Analytics for Healthcare",1
Heterogeneous Graph Representation Learning and Applications,1
"High-Performance Computing Systems and Technologies in Scientific Research, Automation of Control and Production",1
High-Performance Computing and Big Data Analysis,1
Group Processes,1
"Green, Pervasive, and Cloud Computing – GPC 2020 Workshops",1
Graph-Based Representations in Pattern Recognition,1
Getting Structured Data from the Internet,1
Gesture Recognition,1
Geospatial Data Science in Healthcare for Society 5.0,1
"Geographical Information Systems Theory, Applications and Management",1
Geo-informatics in Sustainable Ecosystem and Society,1
Genetic Programming and Evolvable Machines,1
"Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications",1
Fundamentals of Artificial Intelligence,1
Fundamental Approaches to Software Engineering,1
Formalizing Natural Languages with NooJ 2018 and Its Natural Language Processing Applications,1
Formal Methods – The Next 30 Years,1
Family History Digital Libraries,1
Exploiting Linked Data and Knowledge Graphs in Large Organisations,1
Explainable Artificial Intelligence: An Introduction to Interpretable Machine Learning,1
xxAI - Beyond Explainable AI,1
