Publication Title,Publication Title
Business Information Systems,3
"Knowledge Discovery, Knowledge Engineering and Knowledge Management",3
Heterogeneous Information Network Analysis and Applications,3
"Machine Learning, Image Processing, Network Security and Data Sciences",3
Trends of Data Science and Applications,3
Health Information Science,3
Distributed Machine Learning and Gradient Optimization,3
Advances in Data Science and Information Engineering,3
"Diversity, Divergence, Dialogue",3
Big Data,3
Requirements Engineering: Foundation for Software Quality,3
Pattern Recognition and Machine Intelligence,3
Cognitive Computing Recipes,3
Network Embedding,3
Pattern Recognition. ICPR International Workshops and Challenges,3
Information Retrieval Technology,3
Artificial Intelligence  in Education,3
Machine Learning and Knowledge Discovery in Databases. Research Track,3
"HCI for Cybersecurity, Privacy and Trust",3
Augmented Cognition. Neurocognition and Machine Learning,3
Practical Machine Learning with Python,3
Software and Systems Modeling,3
Software Quality Journal,3
Emerging Technologies for Education,2
Visual Analytics for Data Scientists,2
Advances in Data Mining. Applications and Theoretical Aspects,2
Lecture Notes on Data Engineering and Communications Technologies,2
Distributed Computing and Intelligent Technology,2
Electronic Participation,2
Innovations for Community Services,2
Disease Control Through Social Network Surveillance,2
Innovations in Systems and Software Engineering,2
Representing Scientific Knowledge,2
Distributed Computing and Internet Technology,2
"Distributed, Ambient and Pervasive Interactions",2
Document Analysis Systems,2
"Recent Trends in Analysis of Images, Social Networks and Texts",2
Research Challenges in Information Science,2
Artificial Neural Networks and Machine Learning – ICANN 2020,2
From Extractive to Abstractive Summarization: A Journey,2
Encyclopedia of Big Data Technologies,2
Phrase Mining from Massive Text and Its Applications,2
Network Modeling Analysis in Health Informatics and Bioinformatics,2
Pattern Recognition and Artificial Intelligence,2
HMD Praxis der Wirtschaftsinformatik,2
Handbook of Big Data Analytics and Forensics,2
Handbook of Big Geospatial Data,2
Handbook of Image Engineering,2
AI 2021: Advances in Artificial Intelligence,2
"Parallel Architectures, Algorithms and Programming",2
Optical Memory and Neural Networks,2
Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track,2
Machine Learning and AI for Healthcare,2
New Frontiers in Mining Complex Patterns,2
Human and Machine Learning,2
Next-Generation Machine Learning with Spark,2
Human-Computer Interaction – INTERACT 2019,2
New Trends in Databases and Information Systems,2
AI & SOCIETY,2
Information Refinement Technologies for Crisis Informatics,2
Information Retrieval Evaluation in a Changing World,2
Web Engineering,2
Advanced Hybrid Information Processing,2
Encyclopedia of Education and Information Technologies,2
Advances and Trends in Artificial Intelligence. From Theory to Practice,2
Engineering Applications of Neural Networks,2
Information and Software Technologies,2
Information and Communications Security,2
"Enterprise Applications, Markets and Services in the Finance Industry",2
Query Understanding for Search Engines,2
"Enterprise, Business-Process and Information Systems Modeling",2
Web Information Systems Engineering,2
Natural Language Processing Recipes,2
Evaluation of Novel Approaches to Software Engineering,2
Urban Intelligence and Applications,2
From Security to Community Detection in Social Networking Platforms,2
Product-Focused Software Process Improvement,2
Predicting the Dynamics of Research Impact,2
Future and Emerging Trends in Language Technology. Machine Learning and Big Data,2
GeoInformatica,2
Advances in Electrical and Computer Technologies,2
Intelligent Data Engineering and Automated Learning – IDEAL 2020,2
Human–Computer Interaction Series,2
Theoretical Computer Science,2
Cognitive Computing – ICCC 2018,2
Iran Journal of Computer Science,2
Combating Online Hostile Posts in Regional Languages during Emergency Situation,2
Argumentation Mining,2
Theoretical Aspects of Software Engineering,2
Mining Intelligence and Knowledge Exploration,2
Computational Intelligence in Data Science,2
Soziale Medien,2
Applied Natural Language Processing with Python,2
Computational Processing of the Portuguese Language,2
Computational Science and Its Applications – ICCSA 2018,2
Applied Informatics,2
Computer Vision – ECCV 2020,2
Computational Science and Its Applications – ICCSA 2022 Workshops,2
Computational Science – ICCS 2020,2
Computational Science – ICCS 2021,2
Social Monitoring for Public Health,2
Computer Information Systems and Industrial Management,2
Applied Data Science Using PySpark,2
Computer Supported Cooperative Work (CSCW),2
Scalable Uncertainty Management,2
Computer Supported Education,2
Towards Open and Trustworthy Digital Societies,2
Computer Vision – ACCV 2018,2
Knowledge Management and Acquisition for Intelligent Systems,2
Artificial Intelligence Algorithms and Applications,2
String Processing and Information Retrieval,2
Knowledge Graphs and Semantic Web,2
The Development of Natural Language Processing,2
The Data Science Design Manual,2
Artificial Neural Networks and Machine Learning – ICANN 2019: Text and Time Series,2
Automated Taxonomy Discovery and Exploration,2
Knowledge Engineering and Knowledge Management,2
Text Mining with MATLAB®,2
Artificial Life and Evolutionary Computation,2
KI 2019: Advances in Artificial Intelligence,2
"Big Data, Cloud and Applications",2
The Semantic Web – ISWC 2019,2
The Semantic Web – ISWC 2020,2
Brain Informatics,2
Journal of the Brazilian Computer Society,2
The Semantic Web – ISWC 2022,2
Business Intelligence,2
Journal of Grid Computing,2
CCF Transactions on Pervasive Computing and Interaction,2
Artificial Intelligence and Speech Technology,2
Centrality and Diversity in Search,2
Chinese Computational Linguistics,2
Artificial Intelligence and Soft Computing,2
Synthesis Lectures on Data Management,2
Journal of Cloud Computing,2
"Social Computing and Social Media: Design, User Experience and Impact",2
Machine Learning and Data Mining in Pattern Recognition,2
Computer Vision – ECCV 2020 Workshops,2
"Security, Privacy, and Anonymity in Computation, Communication, and Storage",2
Data Science and Computational Intelligence,2
Advances in Visual Computing,2
Advances in Swarm Intelligence,2
Applications and Techniques in Information Security,2
Modeling Decisions for Artificial Intelligence,2
Data and Information in Online Environments,2
Data-Driven Personas,2
Database Systems for Advanced Applications. DASFAA 2020 International Workshops,2
The Past Web,2
Intelligent Data Engineering and Automated Learning – IDEAL 2019,2
Machine Learning and Intelligent Communications,2
Intelligent Information Processing XI,2
Intelligent Crowdsourced Testing,2
Security and Privacy in Communication Networks,2
Advances in Multimedia Information Processing – PCM 2018,2
Search-Based Software Engineering,2
"Design, User Experience, and Usability. Interaction Design",2
Designing for a Digital and Globalized World,2
Developing Enterprise Chatbots,2
Scientific and Technical Information Processing,2
Multi-disciplinary Trends in Artificial Intelligence,2
Machine Learning for Cyber Security,2
Trends in Artificial Intelligence Theory and Applications. Artificial Intelligence Practices,2
Trends in Social Network Analysis,2
Cybersecurity Data Science,2
"Cyberspace Data and Intelligence, and Cyber-Living, Syndrome, and Health",2
Mining Structures of Factual Knowledge from Text,2
"Mobile and Ubiquitous Systems: Computing, Networking and Services",2
Machine Learning for Networking,2
Intelligent Systems,2
International Journal of Educational Technology in Higher Education,2
International Journal of Information Security,2
Language Technologies for the Challenges of the Digital Age,2
Algorithms and Architectures for Parallel Processing,2
Data Analytics in Digital Humanities,2
Data Management Technologies and Applications,2
Transforming Learning with Meaningful Technologies,2
Conceptual Modeling,2
"Computing Science, Communication and Security",2
Annals of Mathematics and Artificial Intelligence,2
New Opportunities for Software Reuse,1
Natural Language Processing Projects,1
Malware Analysis Using Artificial Intelligence and Deep Learning,1
Machine Vision and Augmented Intelligence—Theory and Applications,1
Multi-Agent Systems,1
Managing Data From Knowledge Bases: Querying and Extraction,1
Multimodal Analytics for Next-Generation Big Data Technologies and Applications,1
Machine Learning and Principles and Practice of Knowledge Discovery in Databases,1
Mobile Big Data,1
Neural Networks and Deep Learning,1
Multiview Machine Learning,1
Microservices,1
"Modeling, Machine Learning and Astronomy",1
Machine Learning with PySpark,1
Network Data Analytics,1
Machine Learning and Knowledge Discovery in Databases. Applied Data Science and Demo Track,1
Modeling and Using Context,1
Network and System Security,1
Mining Lurkers in Online Social Networks,1
Model and Data Engineering,1
Machine Learning for Economics and Finance in TensorFlow 2,1
Minds and Machines,1
