Title
"Nonparametric Bayesian Negative Binomial Factor Analysis"
"Autoencoding Variational Inference For Topic Models"
"Variational Autoencoders for Sparse and Overdispersed Discrete Data"
"Topic Modeling with {W}asserstein Autoencoders"
"{Reparameterization Gradients through Acceptance-Rejection Sampling Algorithms}"
"Discovering Discrete Latent Topics with Neural Variational Inference"
"Document Informed Neural Autoregressive Topic Models with Distributional Prior"
"Applications of Topic Models"
"Autoencoding Variational Inference For Topic Models"
"Topically Driven Neural Language Model"
"Efficient Correlated Topic Modeling with Topic Embedding"
"Deep {D}irichlet Multinomial Regression"
"Automated Phrase Mining from Massive Text Corpora"
"Category-Level Transfer Learning from Knowledge Base to Microblog Stream for Accurate Event Detection"
"Efficient Correlated Topic Modeling with Topic Embedding"
"TopicOnTiles: Tile-Based Spatio-Temporal Event Analytics via Exclusive Topic Modeling on Social Media"
"The Remarkable Benefit of User-Level Aggregation for Lexical-based Population-Level Predictions"
"Using time-sensitive interactions to improve topic derivation in twitter"
"STExNMF: Spatio-Temporally Exclusive Topic Discovery for Anomalous Event Detection"
"{T}witter Topic Modeling by Tweet Aggregation"
"Learning Distributed Representations of Texts and Entities from Knowledge Base"
"Combining Knowledge with Deep Convolutional Neural Networks for Short Text Classification"
"On Evaluating and Comparing Open Domain Dialog Systems"
"Conversational AI: The Science Behind the Alexa Prize"
"Edina: Building an Open Domain Socialbot with Self-dialogues"
"Contextual Topic Modeling For Dialog Systems"
"Coherence Modeling of Asynchronous Conversations: A Neural Entity Grid Approach"
"Topic-based Evaluation for Conversational Bots"
"Very Deep Convolutional Networks for Text Classification"
"Universal Sentence Encoder"
"Enriching Word Vectors with Subword Information"
"Distant Horizons: Digital Evidence and Literary Change"
"Contestability in Algorithmic Systems"
"Balanced Datasets Are Not Enough: Estimating and Mitigating Gender Bias in Deep Image Representations"
"The Sense of Agency Scale: A Measure of Consciously Perceived Control over One{\textquotesingle}s Mind, Body, and the Immediate Environment"
"Implicit Gender Biases in Professional Software Development: An Empirical Study"
"A Qualitative Exploration of Perceptions of Algorithmic Fairness"
"Investigating How Experienced UX Designers Effectively Work with Machine Learning"
"Fairness Beyond Disparate Treatment &amp; Disparate Impact: Learning Classification without Disparate Mistreatment"
"Evaluating Visual Representations for Topic Understanding and Their Effects on Manually Generated Topic Labels"
"Diagnosing Gender Bias in Image Recognition Systems"
"How Computers See Gender: An Evaluation of Gender Classification in Commercial Facial Analysis Services"
"Auditing the Personalization and Composition of Politically-Related Search Engine Results Pages"
"Auditing Partisan Audience Bias within Google Search"
"Computational Grounded Theory: A Methodological Framework"
"Image Provenance Analysis at Scale"
"Measuring LDA Topic Stability from Clusters of Replicated Runs"
"Topically Driven Neural Language Model"
"Quantifying Search Bias: Investigating Sources of Bias for Political Searches in Social Media"
"Human Decisions and Machine Predictions"
"The case of computer science education, employment, gender, and race/ethnicity in Silicon Valley, 1980{\textendash}2015"
"Supporting Serendipity: Opportunities and Challenges for Human-AI Collaboration in Qualitative Analysis"
"Is Automated Topic Model Evaluation Broken?: The Incoherence of Coherence"
"Evaluating a Computational Approach to Labeling Politeness: Challenges for the Application of Machine Classification to Social Computing Data"
"Designing Contestability"
"Introduction to the Special Issue on Human-Centered Machine Learning"
"UX Design Innovation: Challenges for Working with Machine Learning as a Design Material"
"Learning to Evaluate Image Captioning"
"The Measure and Mismeasure of Fairness: A Critical Review of Fair Machine Learning"
"Truth Bias and Partisan Bias in Political Deception Detection"
"Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification"
"Topicalizer: reframing core concepts in machine learning visualization by co-designing for interpretivist scholarship"
"Digital Labour Platforms and the Future of Work: Towards Decent Work in the Online World"
"Participant Crosstalk: Issues When Using the Mechanical Turk"
""Our Privacy Needs to Be Protected at All Costs": Crowd Workers' Privacy Experiences on Amazon Mechanical Turk"
"Organizational Work{\textendash}Life Policies and the Gender Wage Gap in European Workplaces"
"Privacy-Preserving Task Recommendation Services for Crowdsourcing"
"Embedded in the Crowd: Creative Freelancers, Crowdsourced Work, and Occupational Community"
"Privacy, Power, and Invisible Labor on Amazon Mechanical Turk"
"A Typology of Virtual Communities: A Multi-Disciplinary Foundation for Future Research"
"Finding the diamond in the rough: Exploring communication and platform in crowdsourcing performance"
"Daemo"
"Clarity is a Worthwhile Quality: On the Role of Task Clarity in Microtask Crowdsourcing"
"Decoupling Sparsity and Smoothness in the Dirichlet Variational Autoencoder Topic Model"
"MetaLDA: a Topic Model that Efficiently Incorporates Meta information"
"From Louvain to Leiden: guaranteeing well-connected communities"
"Autoencoding Variational Inference For Topic Models"
"The Future is Big Graphs! A Community View on Graph Processing Systems"
"Vec2GC -- A Graph Based Clustering Method for Text Representations"
"Networks"
"Topic Modeling with {W}asserstein Autoencoders"
"Stick-Breaking Variational Autoencoders"
"UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction"
"Measuring LDA Topic Stability from Clusters of Replicated Runs"
"Improving Topic Quality by Promoting Named Entities in Topic Modeling"
"An Introduction to Variational Autoencoders"
"Topic Modeling and Text Analysis for Qualitative Policy Research"
"Is Automated Topic Model Evaluation Broken?: The Incoherence of Coherence"
"Augmenting Neural Response Generation with Context-Aware Topical Attention"
"Topic Model or Topic Twaddle? Re-evaluating Semantic Interpretability Measures"
"Topic Modeling in Embedding Spaces"
"Top2Vec: Distributed Representations of Topics"
"Learning Representations for Time Series Clustering"
"A Relation-Oriented Clustering Method for Open Relation Extraction"
"WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling"
"Supporting Clustering with Contrastive Learning"
"Topic Memory Networks for Short Text Classification"
"Adversarial Learning for Robust Deep Clustering"
"Deep Clustering by Gaussian Mixture Variational Autoencoders With Graph Embedding"
"Self-Taught Convolutional Neural Networks for Short Text Clustering"
"Tracing Fake-News Footprints: Characterizing Social Media Messages by How They Propagate"
"Deep Comprehensive Correlation Mining for Image Clustering"
"Friendly Topic Assistant for Transformer Based Abstractive Summarization"
"Neural Topic Model with Attention for Supervised Learning"
"Topic-Guided Variational Autoencoders for Text Generation"
"SCAN: Learning to Classify Images without Labels"
"MiCE: Mixture of Contrastive Experts for Unsupervised Image Clustering"
